playerID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,BB,SO,ERA,IBB
capuach01,24116,77,92,316,225,4,3,0,4289,1481,696,463,1199,60.13,35.0
carasma01,2016,1,0,19,0,0,0,0,47,25,16,11,17,9.19,0.0
caratvi01,2018,0,0,2,0,0,0,0,6,3,2,0,0,9.0,0.0
carawpa01,5793,22,40,108,62,21,2,3,1434,542,284,195,151,16.9,0.0
cardejo01,1946,0,0,1,0,0,0,0,6,4,5,4,1,22.5,0.0
cardico01,1963,0,1,6,1,0,0,0,40,15,9,7,7,6.08,0.0
cardobe01,5832,0,6,36,5,1,0,1,323,127,57,54,34,19.36,0.0
cardwdo01,27489,102,138,410,301,72,17,7,6368,2009,924,671,1211,69.7,80.0
carides01,4019,1,1,22,0,0,0,0,70,19,8,8,21,12.65,0.0
carigan01,4023,1,1,17,0,0,0,0,48,16,8,12,13,8.92,0.0
carlesh01,4035,4,1,56,0,0,0,1,201,56,23,27,47,9.61,7.0
carlete01,15485,100,76,293,202,91,16,9,4822,1630,698,561,808,31.639999999999997,0.0
carloci01,7874,11,18,73,36,1,1,0,711,222,98,79,119,16.5,8.0
carlsda01,7990,1,0,23,0,0,0,0,141,63,35,18,37,26.97,1.0
carlsdo01,5851,2,4,13,7,2,0,0,162,75,36,21,23,50.989999999999995,0.0
carlsha01,26929,114,120,377,238,121,17,19,6006,2256,883,498,590,63.77999999999999,0.0
carlsje01,6027,8,8,162,0,0,0,3,424,121,57,47,114,11.52,12.0
carlsle01,1920,0,0,3,0,0,0,0,37,14,5,2,3,3.65,0.0
carltst01,49422,329,244,741,709,254,55,2,15652,4672,1864,1833,4136,107.63000000000001,150.0
carlybu01,18068,13,13,150,27,0,0,1,877,298,167,107,232,64.77,19.0
carmado01,19875,53,54,342,102,7,3,11,2765,849,421,378,598,41.56,45.0
carmich01,1909,0,0,2,0,0,0,0,21,9,0,3,2,0.0,0.0
carmofa01,22121,71,99,270,219,8,3,1,4075,1412,695,505,833,62.65,25.0
carmora01,7987,11,7,81,4,0,0,2,465,171,85,100,96,21.060000000000002,11.0
carneed01,5830,0,0,6,0,0,0,0,16,7,5,3,4,29.25,0.0
carnepa01,5709,4,10,16,13,10,0,0,328,139,57,46,37,18.849999999999998,0.0
carpean01,10050,1,1,23,1,0,0,0,100,43,28,18,33,41.269999999999996,2.0
carpebo01,9716,25,20,80,54,23,4,2,1199,411,160,132,134,31.47,0.0
carpech01,30069,144,94,350,332,33,15,0,6658,2205,927,627,1697,60.73,23.0
carpech02,4023,1,0,18,0,0,0,0,47,19,9,17,10,11.79,3.0
carpecr01,17926,27,22,291,13,1,0,7,1243,398,180,131,252,39.300000000000004,39.0
carpeda01,14092,11,11,218,0,0,0,4,634,210,86,74,216,51.02,15.0
carpeda02,8054,1,2,34,0,0,0,0,140,51,28,19,34,120.12,0.0
carpele01,1943,0,0,4,0,0,0,0,10,1,0,4,1,0.0,0.0
